platform_name,platform_url,grayjay_source,ytdlp_extractor
Aparat,https://www.aparat.com,Aparat,Aparat
Apple Podcasts,https://podcasts.apple.com/,Apple Podcasts,ApplePodcasts
Audius Music,https://audius.co/,Audius Music,Audius
Bandcamp,https://bandcamp.com,Bandcamp,Bandcamp
BiliBili,https://bilibili.com,BiliBili (CN),BiliBili
Bitchute,https://bitchute.com,Bitchute (Beta),BitChute
CDA,https://cda.pl,CDA,CDA
Chaturbate,https://chaturbate.com,Chaturbate,Chaturbate
Coub,https://coub.com,Coub,Coub
Curiosity Stream,https://curiositystream.com,Curiosity Stream (Alpha),curiositystream
DLive,https://dlive.tv,DLive,dlive
DTube,https://d.tube,DTube,DTube
Dailymotion,https://dailymotion.com,Dailymotion (Beta),dailymotion
Dropout,https://www.dropout.tv,Dropout,Dropout
Floatplane,https://floatplane.com,Floatplane,Floatplane
Genius Lyrics,https://genius.com,Genius Lyrics,Genius
God Resource,https://godresource.com,God Resource (Unofficial),GodResource
Instagram,https://www.instagram.com/,Instagram,Instagram
Internet Archive,https://archive.org,Internet Archive,archive.org
Kick (Beta),https://kick.com,Kick (Beta),kick
Livestreamfails,https://livestreamfails.com,Livestreamfails,Livestreamfails
media.ccc.de,https://media.ccc.de,media.ccc.de,media.ccc.de
Mixcloud (Alpha),https://www.mixcloud.com,Mixcloud (Alpha),mixcloud
Nebula,https://nebula.tv,Nebula,nebula
Newgrounds,https://www.newgrounds.com,Newgrounds,Newgrounds
Niconico,https://www.nicovideo.jp,Niconico,niconico
Odysee,https://odysee.com,Odysee,lbry
Patreon,https://patreon.com,Patreon,patreon
PeerTube,https://joinpeertube.org,PeerTube,PeerTube
Pluto.tv,https://pluto.tv,Pluto.tv,PlutoTV
PornHub,https://www.pornhub.com/,PornHub,PornHub
RuTube,https://rutube.ru,RuTube,rutube
Rumble,https://rumble.com,Rumble,Rumble
Sauceplus,https://sauceplus.com,Sauceplus,SaucePlus
SoundCloud,https://soundcloud.com,SoundCloud,soundcloud
TeacherTube,https://teachertube.com,TeacherTube,teachertube
Ted Talks,https://www.ted.com/talks,Ted Talks (Alpha),TedTalk
TikTok,https://tiktok.com,TikTok,TikTok
Trovo (Beta),https://trovo.live,Trovo (Beta),Trovo
Twitch (Beta),https://twitch.tv,Twitch (Beta),twitch
VidLii,https://www.vidlii.com/,VidLii,VidLii
Vimeo,https://vimeo.com,Vimeo,vimeo
WWE Network,https://watch.wwe.com,WWE Network,WWE
XNXX,https://www.xnxx.com,XNXX,XNXX
XVideos,https://www.xvideos.com,XVideos,XVideos
xboxclips,https://www.xboxclips.com,xboxclips,XboxClips
